"date","open_day","close_day","high_day","low_day","volume_day"
336,216.26,222.21,224.4,215.89,28436.48630598
337,222.21,222.09,223.17,217.8,22994.74181235
338,222.14,235.11,242.5,221.46,66868.2043034801
339,235.21,259.2,261.3,234.52,79873.0046327
340,259.18,234.5,268.54,228.2,107423.49392869
341,234.48,233.55,243.65,228.62,50062.15501304
342,233.4,243.75,246.28,232.68,41822.2292158299
343,243.67,236.98,244.44,231.01,39295.96158358
344,236.98,244.4,245.99,234.97,32912.74216013
345,244.67,246.01,248.98,240.9,29138.98072014
346,245.63,236.41,247.78,232.1,34031.35473104
347,236.4,239.88,241,232.61,29624.09944888
348,239.8,238.76,240.99,236.7,19718.09325458
349,238.72,237.37,239.31,233.62,24587.40834087
350,237.53,256.2,262.8,236.1,63572.10790227
351,256.3,255.8,258.71,251.25,28053.68035155
352,255.79,262.27,267,245.65,60922.1060288
353,262.69,275.55,279.92,258.98,72735.8739124701
354,275.59,279.79,294,267.04,86913.6998865999
355,279.75,270.08,285.99,267,68837.75382564
356,270.08,272.5,284.99,262,70352.4439533301
357,272.68,278.36,280.76,270.55,29974.3442082802
358,278.38,279.15,282,271.61,27906.52152933
359,278.81,295,298.95,278.21,73162.2614993599
360,295,294.81,303.96,289.03,57410.6507484099
361,294.64,293.09,298.75,291.04,28281.51892575
362,293.1,291.77,298.8,286,46971.70505927
363,291.77,283.3,292.7,281.36,38419.7665846699
364,283.26,292.15,293.5,281.59,24982.66244448
365,292.15,290.62,295.2,288.98,19266.7357710599
366,290.62,270.21,290.62,269.09,55191.5276294599
367,270.22,263.85,271.95,246.98,95380.8382052
368,263.8,262.43,269.5,250.33,47629.98238576
369,262.45,260.66,263.55,255.1,19172.92509003
370,260.68,265.22,271.5,260.2,27101.09069284
371,265.22,248.74,268.99,241.39,72922.4446981699
372,248.49,246.33,250.95,235.7,57359.6542286001
373,246.32,247.56,255,244.8,39613.4481377799
374,247.45,252.77,255.96,245.84,27133.50619604
375,252.79,242.96,254.49,238.89,36041.02102623
376,242.99,247.81,250.98,236.24,33539.31055514
377,247.81,240.87,248.8,239.45,28151.98264701
378,240.87,250.97,252,239.21,31747.65763979
379,251,253.87,256.49,250.31,38310.33445186
380,253.86,257.14,260,250.32,23428.01939841
381,257,253.19,262.45,253.01,33403.7263853101
382,253.18,247.53,257.9,243.4,32222.53910673
383,247.34,242.82,251,236.5,35649.49488837
384,242.83,236.03,243.87,230.75,40325.65033825
385,236.01,235.88,240.58,232.38,24559.10620811
386,235.88,226.79,237.76,220.14,47361.65998927
387,226.79,221.93,227.58,216.37,47088.65512478
388,222,225.48,227.9,219.1,36023.96968723
389,225.49,221.21,230,219.58,31856.09666259
390,221.35,226.49,227,219.94,26825.84681819
391,226.49,224.1,227,221.24,30262.78693801
392,224.33,235.1,237.2,224.1,40975.49416327
393,235.12,234.5,238.99,232.83,20337.20646606
